arrow_direct,arrow_orientation,stim_images,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,walcome_screen.started,textwelcomescreen.started,walcome_screen.stopped,comfirm.started,text.started,keySpacebar.started,comfirm.stopped,keySpacebar.keys,keySpacebar.rt,keySpacebar.duration,trial.started,cross_on_screen.started,arrow.started,cross_on_screen.stopped,arrow.stopped,stim_image.started,eeg_marker.started,eeg_marker.stopped,stim_image.stopped,rest_cue.started,rest_cue.stopped,trial.stopped,goodbye_screen.started,text_2.started,text_2.stopped,goodbye_screen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.009813100000428676,0.014257599999837112,2.0020429000005606,,,,,,,,,,,,,,,,,,,,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
,,,,,,,,,,,,,,,2.0020744000003106,2.0075188999999227,2.0075188999999227,2.6566923999998835,space,0.6456015999992815,None,,,,,,,,,,,,,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
R,90,images/right.jpg,0,0,0,0,0,0,2,2.675335400000222,,,,,,,,,,,,2.666039300000193,2.675335400000222,4.1462006000001566,4.167210100000375,5.139715700000124,5.145996000000196,2.5053459000000657,3.498555199999828,9.139602500000365,9.146677800000361,11.647376100000656,11.63479180000013,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
U,0,images/feet.jpg,1,1,0,0,1,1,0,11.647376100000656,,,,,,,,,,,,11.640127100000427,11.659516900000199,13.146632400000271,13.154388500000096,14.147057799999857,14.147057799999857,2.500013200000467,3.498208400000294,18.139009700000315,18.1524730000001,20.702685700000075,20.64145550000012,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
D,180,images/idle.jpg,2,2,0,0,2,2,3,20.702685700000075,,,,,,,,,,,,20.684342100000322,20.702685700000075,22.15319400000044,22.194627599999876,23.145608200000424,23.152657999999974,2.5048453999997946,3.4982473000000027,27.14531150000039,27.15254770000047,29.652884900000572,29.641346400000657,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
L,270,images/left.jpg,3,3,0,0,3,3,1,29.652884900000572,,,,,,,,,,,,29.644911800000045,29.65964239999994,31.15295800000058,31.15295800000058,32.14543440000034,32.15216599999985,2.5042647999998735,3.49753789999977,36.145444300000236,36.15224480000052,38.652334400000655,38.6418934000003,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
U,0,images/feet.jpg,4,0,1,1,0,4,0,38.652334400000655,,,,,,,,,,,,38.64704820000043,38.65910160000021,40.15225840000039,40.15225840000039,41.152055100000325,41.152055100000325,2.5044105999995736,3.4971118000003116,45.14513249999982,45.15223210000022,47.69313409999995,47.64052150000043,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
D,180,images/idle.jpg,5,1,1,1,1,5,3,47.69313409999995,,,,,,,,,,,,47.67846920000011,47.69313409999995,49.1517087000002,49.186763800000335,50.14469100000042,50.15197350000017,2.503557300000466,3.497056600000178,54.14450300000044,54.15158789999987,56.651229400000375,56.64058180000029,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
R,90,images/right.jpg,6,2,1,1,2,6,2,56.651229400000375,,,,,,,,,,,,56.644730800000616,56.65861500000028,58.151193100000455,58.151193100000455,59.144286400000055,59.15135850000024,2.5032074999999168,3.497378099999878,63.14418720000049,63.15125460000036,65.65288830000009,65.64102230000026,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
L,270,images/left.jpg,7,3,1,1,3,7,1,65.65288830000009,,,,,,,,,,,,65.64485130000048,65.65949470000032,67.15115659999992,67.15115659999992,68.1438775000006,68.1508033,2.5031896000000415,3.4960457999995924,72.1442319000007,72.1507201000004,74.64425420000043,74.6394807000006,,,,,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.63957269999992,74.65207360000022,80.65779449999991,77.63943910000035,426724,001,2025-09-24_19h34.57.329,MotorImageryExperiment,2024.2.4,144.58137907588664,2025-09-24 19h35.04.890878 +0700,
